,State Combo,Num Instances,Avg Return %,Profitable %,Over B %,STD,Returns
0,d2.g2,106,-1.36,0.0,2.83,0.006940968187694818,"[-0.017396820743842856, -0.014843075173639364, -0.011838069824037567, -0.011457188099090576, -0.010524651378545524, -0.007944866854766697, -0.013910153742740294, -0.026209993102590756, -0.029457783409047922, -0.019443641144035295, -0.03690924130820605, -0.016158489457000713, -0.008558727592875903, -0.007207773572955878, -0.009887511707588725, -0.013876328530129878, -0.008891855193206122, -0.013498076946802051, -0.009076752341105832, -0.010138749002110314, -0.014611486147735886, -0.010315516135803615, -0.013817176508917783, -0.009220966932487862, -0.011647009794256036, -0.007079534455685987, -0.006024563803139982, -0.009696344339347185, -0.005841426201901756, -0.015436400790494798, -0.008019573195595986, -0.01805949388689987, -0.013190942054537302, -0.01465380212938705, -0.011452025803046273, -0.008446178744975441, -0.0076552723315681526, -0.010372155568893815, -0.008187458047649976, -0.02984796414023727, -0.01395985014887613, -0.01938092041214734, -0.012815436783344514, -0.01802223233729683, -0.01904969404069845, -0.009988000602385139, -0.009075892573119027, -0.009333749222321441, -0.009477882399851478, -0.006407080026220147, -0.00511473774739668, -0.0072454820131552244, -0.008264453386539916, -0.008788966124289255, -0.004950040868622496, -0.010257291957812775, -0.021584544393373095, -0.013467172081722878, -0.008284134396007392, -0.006776481446776672, -0.018506145445151945, -0.01961853219928933, -0.014975735017115688, -0.009808054696897162, -0.008707700165302534, -0.0053874610810286105, -0.011894772324267722, -0.015524414508130024, -0.008892981099304476, -0.010298178417460169, -0.019931596631990733, -0.025508808740528632, -0.02319099644808509, -0.018479948273935398, -0.008969071745563051, -0.013245803818588864, -0.012374875087335369, -0.008924706646976532, -0.008148152687545096, -0.007843512363097216, -0.005903106611703901, -0.00788464172207215, -0.009741033447749459, -0.012222241534298739, -0.008044674595092727, -0.013778524004483539, -0.012451805292994278, -0.014953396616415704, -0.040311672906253704, -0.023782908063652908, -0.037968108460479044, -0.02043287770560631, -0.013438029467826573, -0.017443727975438805, -0.016754819358023254, -0.015463605321779372, -0.02789387996237802, -0.02509635290026757, -0.013768830156089429, -0.011222817097110593, -0.00756002034132941, -0.007830675655992936, -0.011648825761061299, -0.012048358940073278, -0.014691281891031527, -0.008786415802172542]"
1,d2.g1,127,-1.39,0.0,7.09,0.007475422557939028,"[-0.004854900535438911, -0.01696179381088736, -0.01810509389700965, -0.037759504739105165, -0.02753470109145517, -0.00718413114058547, -0.014477071383544593, -0.018512651460008023, -0.006630857920611022, -0.00904831031271347, -0.009944567596503529, -0.01808073654543374, -0.028458013398110493, -0.024105664135842475, -0.019019845054418005, -0.022065926304025152, -0.02193644233077241, -0.00738791055097876, -0.007203246016296405, -0.011888034036305006, -0.01106101136965365, -0.014510250302669614, -0.012696943780222458, -0.01603483959571328, -0.010112010193236154, -0.010641791584696025, -0.006078850359124144, -0.008542044647316893, -0.006494297530655113, -0.008277427538781135, -0.009584104126807103, -0.007192063641400348, -0.008704117951414903, -0.006331489399593604, -0.007723435099032172, -0.011414232072671227, -0.016427331096906084, -0.0066825078024571605, -0.0128244657497123, -0.012574860399669707, -0.01002035150754188, -0.007262986276603933, -0.025097190324407603, -0.009331297801391525, -0.01122823238450521, -0.010204849480441536, -0.014003075745639526, -0.0178150246977965, -0.012613947352233312, -0.02494061531452174, -0.02146601205603771, -0.01091769876267601, -0.011966058471977514, -0.009354564483093575, -0.00871436797730818, -0.007711654465692885, -0.005157494379353422, -0.014375490701034499, -0.009047348619010909, -0.008254146899810522, -0.006201738010053304, -0.006494988077374364, -0.009144689632882841, -0.0071818028537974365, -0.00500540763258861, -0.0135303796165831, -0.021314822366070407, -0.006268920896550512, -0.007314983680764442, -0.005294120759555931, -0.014441206057604461, -0.01758754244776617, -0.01868482521394932, -0.018464527875746817, -0.016277724232559576, -0.02048970457955457, -0.023862835108360736, -0.0060566269458658395, -0.008365533184155338, -0.009300601657554641, -0.013474998726845322, -0.005555196891303238, -0.004776969885105897, -0.0037188631977868036, -0.0055132174279275414, -0.0075722122728401065, -0.028632656436617276, -0.03324160841667001, -0.02647304539293016, -0.023751426285006594, -0.011931940865143265, -0.020019503982450337, -0.014549649907330986, -0.007321532756656146, -0.006570514518964177, -0.009902367722656513, -0.006555241995302219, -0.0177096957813494, -0.01106815902683389, -0.02350483746367138, -0.019718786535135258, -0.02136154929586398, -0.017738704372737057, -0.02947937901217823, -0.017092283111350248, -0.03554293020270882, -0.03201723961776115, -0.03309630114234663, -0.020822452293015714, -0.020888887320931526, -0.02446177052535492, -0.014266060487974519, -0.012546827605831146, -0.010682420533123516, -0.017046439252891732, -0.006634424389563409, -0.006629976574946794, -0.006685243067511282, -0.007338223769932428, -0.007619853486468542, -0.01385905447513891, -0.009193292812321507, -0.013386059340923961, -0.013325125212494071, -0.012287996845259275, -0.014352223080703164, -0.011974584626963436]"
2,d2.g3,40,-1.43,0.0,2.5,0.008738386819452302,"[-0.03513706260109051, -0.013104256443211448, -0.018505800614135093, -0.017785403348945295, -0.043118868272831956, -0.03232459786103836, -0.02788833688744674, -0.005682547356725465, -0.0061606828713025585, -0.008192896480698098, -0.009605157381442964, -0.006304711758222337, -0.006429949222423348, -0.01075146065826027, -0.009023107903704863, -0.01397970363204104, -0.008702942303683958, -0.0036279061061353923, -0.02228602585514794, -0.011501199141459195, -0.007467297867047029, -0.009532887944356139, -0.012218736812361297, -0.007846726000449888, -0.01768586756945889, -0.008254749198437494, -0.01421596524820723, -0.00729260001181864, -0.009133037102074693, -0.006169431359173583, -0.005583349945541216, -0.01920206002001057, -0.017965723744742035, -0.015391368399516825, -0.02899570413453112, -0.015788000786043033, -0.015328851203243787, -0.018449825417006682, -0.014429425403185148, -0.011239284251787884]"
3,d3.g4,11,-1.8,0.0,90.91,0.006792215346476043,"[-0.015911989790721837, -0.01746309993421069, -0.016784896923037862, -0.022663909197993104, -0.01406458148815104, -0.012839362085243389, -0.010940519144135519, -0.008494571489698899, -0.024440467415522638, -0.020152000282084748, -0.033849096524816935]"
4,d3.g3,26,-1.89,0.0,80.77,0.0073688265879321355,"[-0.02365013797325466, -0.015579563071897007, -0.016672952775243832, -0.02047510772261585, -0.01902646776862771, -0.0231736567277272, -0.013986335491434687, -0.012643584546741526, -0.011230580029514159, -0.011365969843750157, -0.006949880262850039, -0.02097041291056978, -0.015590849854804523, -0.0217702582808309, -0.02499712600286963, -0.013612703679973803, -0.019246376757893202, -0.034178804861068945, -0.024095976406068864, -0.014767884121357433, -0.019457361041048116, -0.01963052868852022, -0.043482479620391756, -0.015873784029503013, -0.013910851695699389, -0.013857271129248727]"
5,d3.g1,18,-1.89,0.0,83.33,0.005751881643249076,"[-0.027407060678648065, -0.025547656494811277, -0.014830931129193092, -0.016664151563650198, -0.011240686381359888, -0.014000664827794163, -0.013304931317392521, -0.022504900700847652, -0.019833012952059415, -0.01616152678704119, -0.02088142834311879, -0.02399154919471158, -0.008056328805307045, -0.022026612036138316, -0.03029853159191931, -0.017664237267427607, -0.013614025818035724, -0.021245225576354887]"
6,d3.g2,35,-2.54,0.0,94.29,0.01763323270809438,"[-0.02351481123934973, -0.033213597440370335, -0.009805617439876735, -0.020069881887485264, -0.011208553393096232, -0.02246099053371242, -0.014624935415899265, -0.025177396175780742, -0.012463363452322018, -0.01435164853376203, -0.024778315486254088, -0.01608455764740313, -0.02133600847751327, -0.011213408138848413, -0.02100572462399719, -0.019748225710141232, -0.01613604481362263, -0.013551869379889836, -0.016221995860074223, -0.037508915971647405, -0.007815777292593418, -0.0324028800863988, -0.016699557157788703, -0.029567781481040334, -0.01815798418208292, -0.03316540758904296, -0.030302184205459826, -0.04491170464117944, -0.0780944934849146, -0.09567723295147568, -0.013490225312106197, -0.016674222943031003, -0.027439234749657704, -0.03695569908793406, -0.01652838121072564]"
7,d3.d1,6,-3.55,0.0,83.33,0.03392347804720597,"[-0.016777467115573486, -0.016029112243820642, -0.10942353388871218, -0.027322893892541167, -0.010945148769008983, -0.028960840427119217]"
8,d4.g2,5,-3.82,0.0,100.0,0.006850983427570174,"[-0.046841928076764794, -0.030102687310971432, -0.04210684842121881, -0.041822359895694605, -0.03007312587611899]"
